product_id,name,category,brand,price,tags,description
1,무선 이어폰,전자기기,삼성,131958,"휴대용, 터치스크린",최신 기술과 소음 제거 기능
2,스마트 워치,전자기기,LG,156867,"무선, 게이밍",건강 관리와 메시지 알림
3,태블릿 PC,전자기기,애플,141932,"터치스크린, 휴대용",휴대용 학습 및 업무 기기
4,게이밍 마우스,전자기기,삼성,269178,"고성능, 배터리",정밀한 반응속도
5,블루투스 스피커,전자기기,삼성,129879,"휴대용, 게이밍",휴대용 고출력 사운드
6,러닝화,의류,아디다스,120268,"방수, 통기성",가볍고 통기성이 좋음
7,등산화,의류,나이키,217892,"방수, 겨울용",튼튼하고 방수 기능
8,재킷,의류,노스페이스,64886,"방수, 프리미엄",보온성과 디자인을 겸비
9,청바지,의류,유니클로,147337,"캐주얼, 여름용",편안한 착용감
10,백팩,패션잡화,루이비통,97498,"클래식, 베스트셀러",넉넉한 수납 공간
11,커피 원두,식품,롯데,185203,"고소한맛, 프리미엄",고소한 원두 향
12,녹차 티백,식품,맥심,201335,"디저트, 고소한맛",상쾌한 녹차 향
13,프로틴 파우더,식품,스타벅스,288167,"유기농, 단백질",운동 후 단백질 보충
14,시리얼,식품,스타벅스,51090,"고소한맛, 디저트",아침 식사 대용
15,초콜릿,식품,롯데,74820,"디저트, 유기농",달콤한 디저트
16,선글라스,패션잡화,랄프로렌,272913,"미니멀, 럭셔리",자외선 차단 기능
17,지갑,패션잡화,랄프로렌,204027,"럭셔리, 미니멀",고급스러운 가죽 재질
18,벨트,패션잡화,코치,262709,"가죽, 클래식",실용적인 디자인
19,물병,생활용품,쿠쿠,209041,"실용적, 주방용",친환경 소재
20,전기 주전자,생활용품,락앤락,277455,"친환경, 주방용",빠르게 물 끓이기
